DeltaT(s)	count	uC			DeltaT(s)	count	uC
10	26	5.1			1	8	2.8
10	54	7.3			1	5	2.2
10	48	6.9			1	4	2
10	18	4.2			1	6	2.4
10	53	7.3			1	3	1.7
10	42	6.5			1	6	2.4
10	62	7.9			1	5	2.2
10	48	6.9			1	6	2.4
10	60	7.7			1	4	2
10	58	7.6			1	5	2.2
10	47	6.9			1	6	2.4
10	54	7.3			1	5	2.2
10	65	8.1			1	3	1.7
10	47	6.9			1	4	2
10	38	6.2			1	6	2.4
10	64	8			1	5	2.2
10	53	7.3			1	9	3
10	45	6.7			1	6	2.4
10	56	7.5			1	6	2.4
10	58	7.6			1	7	2.6
10	59	7.7			1	0	0
10	41	6.4			1	2	1.4
10	56	7.5			1	9	3
10	51	7.1			1	3	1.7
10	46	6.8			1	8	2.8
10	55	7.4			1	9	3
10	57	7.5			1	3	1.7
10	54	7.3			1	2	1.4
10	54	7.3			1	2	1.4
10	48	6.9			1	5	2.2
10	59	7.7			1	12	3.5
10	51	7.1			1	7	2.6
10	45	6.7			1	5	2.2
10	55	7.4			1	7	2.6
10	55	7.4			1	9	3
10	63	7.9			1	6	2.4
10	46	6.8			1	5	2.2
10	50	7.1			1	4	2
10	50	7.1			1	1	1
10	53	7.3			1	6	2.4
10	51	7.1			1	4	2
10	46	6.8			1	8	2.8
10	57	7.5			1	5	2.2
10	52	7.2			1	6	2.4
10	36	6			1	4	2
10	68	8.2			1	4	2
10	42	6.5			1	5	2.2
10	47	6.9			1	2	1.4
10	56	7.5			1	3	1.7
10	43	6.6			1	6	2.4
10	67	8.2			1	6	2.4
10	54	7.3			1	6	2.4
10	63	7.9			1	11	3.3
10	52	7.2			1	7	2.6
10	44	6.6			1	7	2.6
10	56	7.5			1	4	2
10	64	8			1	8	2.8
10	43	6.6			1	3	1.7
10	55	7.4			1	9	3
10	58	7.6			1	5	2.2
10	32	5.7			1	6	2.4
10	52	7.2			1	6	2.4
10	48	6.9			1	9	3
10	45	6.7			1	3	1.7
10	56	7.5			1	4	2
10	47	6.9			1	4	2
10	63	7.9			1	8	2.8
10	53	7.3			1	3	1.7
10	46	6.8			1	4	2
10	51	7.1			1	5	2.2
10	62	7.9			1	5	2.2
10	63	7.9			1	7	2.6
10	54	7.3			1	5	2.2
10	54	7.3			1	8	2.8
10	60	7.7			1	6	2.4
10	49	7			1	6	2.4
10	38	6.2			1	9	3
10	42	6.5			1	6	2.4
10	54	7.3			1	8	2.8
10	62	7.9			1	4	2
10	54	7.3			1	6	2.4
10	57	7.5			1	9	3
10	59	7.7			1	10	3.2
10	41	6.4			1	8	2.8
10	50	7.1			1	6	2.4
10	53	7.3			1	5	2.2
10	58	7.6			1	2	1.4
10	50	7.1			1	5	2.2
10	51	7.1			1	7	2.6
10	52	7.2			1	7	2.6
10	60	7.7			1	3	1.7
10	56	7.5			1	6	2.4
10	44	6.6			1	3	1.7
10	61	7.8			1	7	2.6
10	53	7.3			1	9	3
10	49	7			1	7	2.6
10	52	7.2			1	9	3
10	53	7.3			1	3	1.7
10	54	7.3			1	5	2.2
10	60	7.7			1	6	2.4
