DeltaT(s)	count	uC			DeltaT(s)	count	uC
10	103	10.1			1	7	2.6
10	98	9.9			1	11	3.3
10	103	10.1			1	14	3.7
10	81	9			1	7	2.6
10	94	9.7			1	14	3.7
10	96	9.8			1	15	3.9
10	96	9.8			1	11	3.3
10	85	9.2			1	5	2.2
10	93	9.6			1	9	3
10	80	8.9			1	11	3.3
10	83	9.1			1	11	3.3
10	91	9.5			1	8	2.8
10	72	8.5			1	9	3
10	88	9.4			1	11	3.3
10	83	9.1			1	7	2.6
10	97	9.8			1	12	3.5
10	95	9.7			1	13	3.6
10	92	9.6			1	10	3.2
10	84	9.2			1	13	3.6
10	82	9.1			1	5	2.2
10	84	9.2			1	9	3
10	97	9.8			1	6	2.4
10	106	10.3			1	10	3.2
10	86	9.3			1	7	2.6
10	86	9.3			1	9	3
10	100	10			1	11	3.3
10	94	9.7			1	4	2
10	91	9.5			1	10	3.2
10	94	9.7			1	13	3.6
10	92	9.6			1	5	2.2
10	91	9.5			1	8	2.8
10	82	9.1			1	8	2.8
10	101	10			1	8	2.8
10	76	8.7			1	10	3.2
10	103	10.1			1	9	3
10	96	9.8			1	6	2.4
10	100	10			1	8	2.8
10	93	9.6			1	6	2.4
10	79	8.9			1	15	3.9
10	94	9.7			1	8	2.8
10	96	9.8			1	11	3.3
10	80	8.9			1	8	2.8
10	74	8.6			1	9	3
10	109	10.4			1	8	2.8
10	115	10.7			1	16	4
10	101	10			1	6	2.4
10	103	10.1			1	14	3.7
10	97	9.8			1	7	2.6
10	106	10.3			1	9	3
10	101	10			1	6	2.4
10	96	9.8			1	9	3
10	109	10.4			1	9	3
10	109	10.4			1	7	2.6
10	104	10.2			1	8	2.8
10	60	7.7			1	9	3
10	91	9.5			1	10	3.2
10	98	9.9			1	16	4
10	96	9.8			1	15	3.9
10	88	9.4			1	8	2.8
10	88	9.4			1	9	3
10	89	9.4			1	6	2.4
10	91	9.5			1	14	3.7
10	90	9.5			1	7	2.6
10	95	9.7			1	9	3
10	87	9.3			1	14	3.7
10	100	10			1	5	2.2
10	86	9.3			1	11	3.3
10	99	9.9			1	9	3
10	87	9.3			1	11	3.3
10	98	9.9			1	6	2.4
10	121	11			1	14	3.7
10	94	9.7			1	6	2.4
10	102	10.1			1	10	3.2
10	83	9.1			1	7	2.6
10	87	9.3			1	8	2.8
10	98	9.9			1	8	2.8
10	77	8.8			1	9	3
10	80	8.9			1	11	3.3
10	92	9.6			1	5	2.2
10	77	8.8			1	9	3
10	90	9.5			1	7	2.6
10	87	9.3			1	10	3.2
10	76	8.7			1	14	3.7
10	77	8.8			1	8	2.8
10	111	10.5			1	9	3
10	89	9.4			1	10	3.2
10	91	9.5			1	3	1.7
10	88	9.4			1	14	3.7
10	94	9.7			1	7	2.6
10	79	8.9			1	5	2.2
10	73	8.5			1	9	3
10	80	8.9			1	8	2.8
10	92	9.6			1	10	3.2
10	77	8.8			1	7	2.6
10	98	9.9			1	11	3.3
10	89	9.4			1	9	3
10	94	9.7			1	2	1.4
10	95	9.7			1	7	2.6
10	92	9.6			1	8	2.8
10	95	9.7			1	5	2.2
