Distance(cm)			n=0	n=1
0			0.7	1.5
0.7			0.8	1.3
1.5			0.5	1.9
2			1.4	2.9
3.4			1.5	3
4.9			1.5	2.2
6.4			0.7	2.2
7.1			1.5	3.7
8.6			2.2	2.4
10.8			0.2	1.1
11			0.9	1.6
11.9			0.7	1.2
12.6			0.5	0.8
13.1			0.3	0.4
13.4			0.1	0.5
13.5			0.4	1.5
13.9			1.1	2.5
15			1.4	1.7
16.4			0.3	1.3
16.7			1	2.1
17.7			1.1	1.4
18.8			0.3	2
19.1			1.7	2.1
20.8			0.4	0.8
21.2			0.4	0.7
21.6			0.3	1.2
21.9			0.9	1.3
22.8			0.4	3.4
23.2			3	3.3
26.2			0.3	1.4
26.5			1.1	1.8
27.6			0.7	1.4
28.3			0.7	1.7
29			1	3.2
30			2.2	4.6
32.2			2.4	3.1
34.6			0.7	1.5
35.3			0.8	1.2
36.1			0.4	1.7
36.5			1.3	2
37.8			0.7	1.7
38.5			1	1.2
39.5			0.2	0.7
39.7			0.5	0.9
40.2			0.4	1.6
40.6			1.2	1.4
41.8			0.2	0.9
42			0.7	1
42.7			0.3	1.6
43			1.3	2.9
44.3			1.6	1.8
45.9			0.2	3.6
46.1			3.4	5.9
49.5			2.5	4.6
52			2.1	2.3
54.1			0.2	1.1
54.3			0.9	1.3
55.2			0.4	2.4
55.6			2	2.7
57.6			0.7	1.5
58.3			0.8	1.4
59.1			0.6	4.4
59.7			3.8	4.3
63.5			0.5	2.5
64			2	2.4
66			0.4	0.6
66.4			0.2	1.2
66.6			1	2.1
67.6			1.1	1.5
68.7			0.4	1
69.1			0.6	1
69.7			0.4	0.9
70.1			0.5	0.7
70.6			0.2	2
70.8			1.8	2.1
72.6			0.3	0.7
72.9			0.4	0.6
73.3			0.2	0.5
73.5			0.3	0.9
73.8			0.6	1.7
74.4			1.1	1.4
75.5			0.3	0.8
75.8			0.5	2.7
76.3			2.2	3.3
78.5			1.1	1.5
79.6			0.4	1.2
80			0.8	3.1
80.8			2.3	3.6
83.1			1.3	1.7
84.4			0.4	1.5
84.8			1.1	2.7
85.9			1.6	3.3
87.5			1.7	2.7
89.2			1	2.3
90.2			1.3	2.9
91.5			1.6	1.9
93.1			0.3	1.4
93.4			1.1	1.8
94.5			0.7	2.9
95.2			2.2	3.2
97.4			1	1.3
98.4			0.3	1.2
98.7			0.9	1.4
99.6			0.5	2.4
100.1			1.9	3.1
102			1.2	1.7
103.2			0.5	2.6
103.7			2.1	3.1
105.8			1	1.3
106.8			0.3	0.4
107.1			0.1	0.6
107.2			0.5	1.2
107.7			0.7	1.2
108.4			0.5	1
108.9			0.5	
109.4				
